latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
17.50362,-90.46775,313.45,1.93,1.36,2022-04-22,0349,T,87,6.1NRT,292.78,26.15,N
17.50049,-90.48563,303.8,1.94,1.36,2022-04-22,0349,T,57,6.1NRT,292.84,9.02,N
17.66119,-90.62229,308.01,1.97,1.37,2022-04-22,0349,T,73,6.1NRT,292.07,19.43,N
18.15244,-88.65527,308.58,1.4,1.17,2022-04-22,0349,T,75,6.1NRT,292.57,11.72,N
18.15036,-88.66833,303.57,1.41,1.17,2022-04-22,0349,T,56,6.1NRT,292.76,6.5,N
18.14736,-88.66073,310.31,1.4,1.17,2022-04-22,0349,T,80,6.1NRT,292.55,13.11,N
18.35576,-89.11239,310.06,1.49,1.21,2022-04-22,0349,T,79,6.1NRT,292.53,15.37,N
18.34791,-89.11656,304.18,1.49,1.21,2022-04-22,0349,T,51,6.1NRT,292.65,8.46,N
18.35863,-89.11852,303.45,1.49,1.21,2022-04-22,0349,T,41,6.1NRT,292.24,7.82,N
18.45773,-89.05181,308.59,1.47,1.2,2022-04-22,0349,T,75,6.1NRT,292.3,12.37,N
18.21984,-90.52663,304.39,1.89,1.34,2022-04-22,0349,T,25,6.1NRT,289.58,12.14,N
18.51334,-88.94256,307.74,1.45,1.19,2022-04-22,0349,T,72,6.1NRT,292.4,11.69,N
18.26763,-90.464,319.46,1.87,1.34,2022-04-22,0349,T,99,6.1NRT,291.94,36.65,N
18.27649,-90.48367,315.71,1.87,1.34,2022-04-22,0349,T,92,6.1NRT,291.53,28.22,N
19.00561,-88.9534,306.9,1.42,1.18,2022-04-22,0349,T,70,6.1NRT,292.5,10.04,N
19.00344,-88.96672,305.06,1.42,1.18,2022-04-22,0349,T,63,6.1NRT,292.44,8.12,N
19.22255,-89.3204,302.34,1.49,1.21,2022-04-22,0349,T,48,6.1NRT,292.07,5.82,N
19.098,-90.39894,305.35,1.78,1.31,2022-04-22,0349,T,45,6.1NRT,287.79,11.75,N
22.04458,-79.40032,300.23,1.98,1.37,2022-04-22,0349,T,15,6.1NRT,290.15,8.99,N
22.04954,-79.38709,305.24,1.98,1.37,2022-04-22,0349,T,64,6.1NRT,290,15.49,N
21.13848,-87.47714,326.49,1.11,1.05,2022-04-22,0349,T,100,6.1NRT,293.63,27.53,N
21.13685,-87.48765,307.45,1.11,1.05,2022-04-22,0349,T,71,6.1NRT,292.82,7.85,N
21.86049,-82.73259,305.66,1.2,1.09,2022-04-22,0349,T,35,6.1NRT,294.94,6.58,N
22.0105,-84.02132,305.49,1.06,1.03,2022-04-22,0349,T,31,6.1NRT,293.36,5.56,N
22.68877,-82.00866,300.9,1.34,1.15,2022-04-22,0349,T,24,6.1NRT,290.88,5.91,N
22.6539,-82.98559,301.37,1.18,1.08,2022-04-22,0349,T,40,6.1NRT,290.99,5.28,N
22.6943,-82.89795,310.53,1.2,1.09,2022-04-22,0349,T,80,6.1NRT,291.94,12.69,N
22.69288,-82.9095,329.72,1.2,1.09,2022-04-22,0349,T,100,6.1NRT,292.56,37,N
41.63292,-87.14335,302,1.22,1.1,2022-04-22,0355,T,46,6.1NRT,281.82,10.79,N
41.66854,-87.46455,306.52,1.19,1.08,2022-04-22,0355,T,68,6.1NRT,282.82,13.24,N
31.15222,-87.98718,301.37,1,1,2022-04-22,0351,T,40,6.1NRT,290.06,5,N
33.43682,-88.57412,310.19,1,1,2022-04-22,0351,T,79,6.1NRT,289.1,10.47,N
34.63959,-87.09039,301.89,1.06,1.03,2022-04-22,0353,T,45,6.1NRT,287.78,6.71,N
35.26261,-90.45184,308.58,1.04,1.02,2022-04-22,0353,T,75,6.1NRT,289.74,9.7,N
35.9374,-89.71411,314.03,1.01,1,2022-04-22,0353,T,88,6.1NRT,287.29,14.05,N
26.95903,-109.01899,309.02,1.14,1.06,2022-04-22,0529,T,27,6.1NRT,293.98,8.59,N
33.75398,-101.94422,304.92,3.9,1.84,2022-04-22,0531,T,62,6.1NRT,291.84,46.13,N
34.38784,-112.43056,323.66,1.02,1.01,2022-04-22,0531,T,100,6.1NRT,283.73,23.89,N
34.39679,-112.43243,302.91,1.02,1.01,2022-04-22,0531,T,13,6.1NRT,281.79,7.32,N
34.39534,-112.44341,310.86,1.02,1.01,2022-04-22,0531,T,81,6.1NRT,282.13,12.84,N
35.74072,-105.48947,316.45,2.4,1.49,2022-04-22,0531,T,93,6.1NRT,283.39,61.55,N
35.73856,-105.51741,306.97,2.39,1.49,2022-04-22,0531,T,51,6.1NRT,281.23,37.31,N
35.75389,-105.49365,306.19,2.4,1.49,2022-04-22,0531,T,56,6.1NRT,281.46,34.8,N
35.73608,-105.49549,312.31,2.4,1.49,2022-04-22,0531,T,85,6.1NRT,282.78,52.11,N
35.74929,-105.4996,315.31,2.4,1.49,2022-04-22,0531,T,91,6.1NRT,282.48,61.85,N
35.39964,-111.49245,301.19,1.09,1.04,2022-04-22,0531,T,39,6.1NRT,280.9,8.48,N
35.41043,-111.48214,324.86,1.1,1.04,2022-04-22,0531,T,100,6.1NRT,283.8,29.45,N
35.40896,-111.49397,311.36,1.09,1.04,2022-04-22,0531,T,82,6.1NRT,281.5,15.19,N
35.43084,-111.44206,300.12,1.1,1.05,2022-04-22,0531,T,3,6.1NRT,284.77,6.54,N
35.44161,-111.43172,313.57,1.1,1.05,2022-04-22,0531,T,87,6.1NRT,286.43,16.46,N
35.45093,-111.43345,322.01,1.1,1.05,2022-04-22,0531,T,100,6.1NRT,285.61,24.88,N
36.27822,-104.96181,314.67,2.63,1.56,2022-04-22,0531,T,90,6.1NRT,283.33,63.31,N
36.2944,-104.93137,317.27,2.64,1.56,2022-04-22,0531,T,95,6.1NRT,283.52,71.59,N
36.29216,-104.96366,334.85,2.63,1.56,2022-04-22,0531,T,100,6.1NRT,284.37,153.14,N
36.30392,-104.99654,310.38,2.62,1.55,2022-04-22,0531,T,65,6.1NRT,282.5,48.04,N
36.31789,-104.99758,302.6,2.62,1.55,2022-04-22,0531,T,32,6.1NRT,281.31,29.76,N
36.29937,-104.93939,313.73,2.64,1.56,2022-04-22,0531,T,70,6.1NRT,283.13,57.38,N
36.29734,-104.97155,310.39,2.63,1.56,2022-04-22,0531,T,74,6.1NRT,282.99,47.73,N
36.29535,-105.00285,303.67,2.62,1.55,2022-04-22,0531,T,18,6.1NRT,282.84,30.3,N
36.30928,-105.00438,311.57,2.62,1.55,2022-04-22,0531,T,83,6.1NRT,281.36,52.85,N
18.46354,-102.40971,301.36,2.37,1.49,2022-04-22,0527,T,40,6.1NRT,290.67,14.85,N
18.39589,-103.01878,310.28,2.12,1.42,2022-04-22,0527,T,80,6.1NRT,290.93,29.86,N
18.39619,-103.0263,309.98,2.12,1.42,2022-04-22,0527,T,79,6.1NRT,290.58,29.6,N
20.80474,-102.94611,316.52,2.33,1.48,2022-04-22,0527,T,93,6.1NRT,288.98,53.28,N
21.03687,-103.82196,304.78,2.02,1.38,2022-04-22,0529,T,62,6.1NRT,292.88,14.87,N
21.43054,-104.26972,300.45,1.9,1.35,2022-04-22,0529,T,28,6.1NRT,286.66,13.19,N
